stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2182,5457,"WESTMORELAND ST @ CHAIN BRIDGE RD",,38.928982,-77.184099,,,,,,0
2183,5458,"CHAIN BRIDGE RD @ BUENA VISTA AVE",,38.930737,-77.181913,,,,,,0
2184,5461,"CHAIN BRIDGE RD @ LAUGHLIN AVE",,38.931867,-77.180446,,,,,,0
2185,5462,"CHAIN BRIDGE RD @ BUENA VISTA AVE",,38.931148,-77.181524,,,,,,0
2186,5463,"CHAIN BRIDGE RD @ PATHFINDER LN",,38.929785,-77.185048,,,,,,0
2187,5464,"CHAIN BRIDGE RD @ AUDMAR DR",,38.929736,-77.188410,,,,,,0
2188,5465,"CHAIN BRIDGE RD @ WASP LA",,38.929864,-77.191459,,,,,,0
2189,5466,"CHAIN BRIDGE RD @ EVANS FARM DR",,38.929633,-77.194341,,,,,,0
2190,5467,"CHAIN BRIDGE RD @ MCLEAN COMMONS CT",,38.929441,-77.195999,,,,,,0
2191,5468,"CHAIN BRIDGE RD @ MONTCALM DR",,38.928075,-77.198763,,,,,,0
2192,5469,"CHAIN BRIDGE RD @ HUNTING AVE",,38.928208,-77.198359,,,,,,0
2193,5470,"CHAIN BRIDGE RD @ SENECA AVE",,38.926893,-77.201010,,,,,,0
2194,5471,"CHAIN BRIDGE RD @ ANDERSON RD",,38.926092,-77.204348,,,,,,0
2195,5497,"OLD DOMINION DR @ CORNER LA",,38.933210,-77.175550,,,,,,0
2196,5508,"BEVERLY RD @ OLD MCLEAN VILLAGE RD",,38.937150,-77.177640,,,,,,0
2198,5510,"ELM ST @ BEVERLY RD",,38.935290,-77.178730,,,,,,0
2199,5537,"DOLLEY MADISON BLVD @ SCOTTS CROSSI",,38.925440,-77.207920,,,,,,0
2200,5538,"MCLEAN METRO B",,38.924672,-77.209096,,,,,,0
2201,5539,"CHAIN BRIDGE RD @ ST ANDREWS DR NE",,38.914130,-77.243290,,,,,,0
2202,5540,"CHAIN BRIDGE RD @ WESTBRIAR DR NE",,38.912540,-77.246770,,,,,,0
2203,5541,"CHAIN BRIDGE RD @ NIBLICK DR SE",,38.911070,-77.249990,,,,,,0
2204,5542,"MAPLE AVE @ MASHIE DR",,38.910580,-77.252290,,,,,,0
2205,5543,"MAPLE AVE @ FOLLIN LA",,38.910320,-77.253990,,,,,,0
2206,5544,"MAPLE AVE @ PLEASANT ST NW",,38.898040,-77.269780,,,,,,0
2207,5545,"MAPLE AVE @ LEWIS ST NW",,38.896160,-77.272130,,,,,,0
2208,5564,"MAPLE AVE @ COURTHOUSE RD",,38.899209,-77.268022,,,,,,0
2209,5565,"MAPLE AVE @ MASHIE DR",,38.910338,-77.252613,,,,,,0
2210,5566,"MAPLE AVE @ NIBLICK DR",,38.910729,-77.250306,,,,,,0
2211,5567,"CHAIN BRIDGE RD @ WESTBRIAR DR NE",,38.912328,-77.246704,,,,,,0
2212,5568,"CHAIN BRIDGE RD @ HORSE SHOE DR (SO",,38.913508,-77.244126,,,,,,0
2213,5569,"OLD COURTHOUSE RD @ CHAIN BRIDGE RD",,38.915750,-77.236769,,,,,,0
2214,5570,"OLD COURTHOUSE RD @ WOODFORD RD",,38.914573,-77.233556,,,,,,0
